Wavelength	Flux	BestFit	SkyFlux
4042.965	10.657	8.280	46.449
4043.896	10.712	8.402	47.919
4044.827	9.006	8.503	44.710
4045.759	5.876	8.494	41.048
4046.691	6.771	8.498	43.280
4047.622	8.709	8.590	49.681
4048.555	8.106	8.556	54.462
4049.487	8.998	8.603	53.744
4050.419	5.706	8.567	50.889
4051.352	10.224	8.523	48.769
4052.285	9.820	8.542	47.437
4053.218	3.007	8.563	45.233
4054.152	11.260	8.531	43.875
4055.085	11.016	8.631	43.986
4056.019	8.798	8.760	43.607
4056.953	8.048	8.820	43.112
4057.887	5.082	8.831	42.804
4058.822	7.355	8.838	41.508
4059.757	9.162	8.770	41.068
4060.692	9.539	8.654	44.169
4061.627	7.378	8.525	46.915
4062.562	8.076	8.521	45.341
4063.498	10.921	8.612	39.850
4064.433	8.625	8.676	36.979
4065.369	6.759	8.765	37.729
4066.305	8.514	8.819	40.239
4067.242	10.945	8.911	41.703
4068.178	11.530	8.992	41.302
4069.115	8.634	8.997	43.412
4070.052	10.063	8.965	45.612
4070.990	14.001	9.048	45.228
4071.927	10.002	9.086	41.679
4072.865	7.430	9.061	39.881
4073.803	9.699	8.999	41.121
4074.741	8.350	8.987	43.407
4075.679	8.229	9.057	44.760
4076.618	10.365	9.038	43.522
4077.557	8.571	9.048	41.571
4078.496	9.243	8.991	39.470
4079.435	6.431	8.948	39.908
4080.374	10.413	8.946	42.047
4081.314	10.397	8.940	44.775
4082.254	9.962	8.990	46.638
4083.194	10.915	9.048	46.568
4084.134	9.710	9.016	45.706
4085.075	10.082	8.937	43.859
4086.015	10.262	8.819	42.471
4086.956	6.994	8.648	43.772
4087.898	7.879	8.520	47.389
4088.839	9.573	8.411	48.174
4089.781	7.712	8.367	47.896
4090.722	9.423	8.428	47.927
4091.664	8.628	8.578	46.887
4092.607	11.875	8.767	45.469
4093.549	12.185	8.948	44.511
4094.492	10.972	8.992	44.306
4095.435	11.270	9.071	44.144
4096.378	9.898	9.106	42.797
4097.321	7.543	9.034	41.235
4098.265	8.207	8.928	40.879
4099.208	10.566	8.865	40.550
4100.152	12.381	8.695	39.057
4101.097	8.698	8.429	36.483
4102.041	6.509	8.256	32.803
4102.986	7.381	8.266	31.144
4103.931	7.779	8.407	32.550
4104.876	9.367	8.604	36.152
4105.821	10.294	8.733	39.594
4106.766	6.793	8.904	41.959
4107.712	6.626	8.990	42.971
4108.658	8.890	8.936	42.810
4109.604	10.812	8.843	42.193
4110.551	10.242	8.786	42.389
4111.497	9.975	8.743	42.741
4112.444	9.912	8.618	42.744
4113.391	10.068	8.535	43.592
4114.338	8.048	8.542	45.007
4115.286	9.979	8.553	45.871
4116.233	14.294	8.545	46.139
4117.181	6.908	8.580	46.717
4118.130	6.746	8.559	46.637
4119.078	8.458	8.457	44.543
4120.026	7.445	8.340	42.354
4120.975	6.172	8.271	43.267
4121.924	8.553	8.231	43.940
4122.873	8.483	8.382	43.267
4123.823	11.272	8.543	43.154
4124.772	13.045	8.625	44.465
4125.722	8.957	8.676	45.290
4126.672	7.184	8.717	44.120
4127.623	7.631	8.606	42.907
4128.573	11.270	8.536	41.810
4129.524	7.615	8.518	42.383
4130.475	8.571	8.514	42.696
4131.426	7.606	8.488	41.868
4132.378	9.262	8.428	40.234
4133.329	8.889	8.357	38.561
4134.281	6.015	8.320	38.295
4135.233	5.001	8.331	39.942
4136.185	7.693	8.442	41.771
4137.138	12.732	8.608	42.579
4138.091	12.204	8.730	43.487
4139.044	9.091	8.814	45.220
4139.997	8.095	8.805	46.148
4140.950	11.789	8.789	46.344
4141.904	8.272	8.800	45.348
4142.858	9.133	8.856	42.031
4143.812	8.460	8.944	38.234
4144.766	6.147	8.985	36.624
4145.720	7.756	9.052	38.470
4146.675	8.314	9.155	41.825
4147.630	8.829	9.124	43.041
4148.585	11.138	8.980	42.331
4149.540	10.161	8.891	41.808
4150.496	7.795	8.823	41.362
4151.452	10.468	8.680	41.745
4152.408	9.047	8.567	42.463
4153.364	10.832	8.404	41.432
4154.321	8.983	8.166	39.866
4155.277	5.766	7.971	39.777
4156.234	7.512	7.902	40.825
4157.191	4.736	7.838	41.256
4158.149	7.004	7.915	41.752
4159.106	5.673	8.044	41.352
4160.064	5.534	8.067	42.847
4161.022	3.724	7.964	44.212
4161.980	6.319	7.941	44.970
4162.939	6.995	8.019	45.960
4163.897	6.727	8.182	46.370
4164.856	7.343	8.350	46.291
4165.815	8.722	8.414	45.825
4166.775	9.894	8.373	44.587
4167.734	9.562	8.439	41.515
4168.694	12.862	8.489	41.134
4169.654	6.574	8.524	42.946
4170.614	7.670	8.608	44.115
4171.574	11.094	8.716	42.929
4172.535	9.005	8.774	40.150
4173.496	10.369	8.815	37.795
4174.457	9.842	8.855	37.391
4175.418	7.532	8.791	38.371
4176.380	7.137	8.681	39.640
4177.342	7.113	8.648	39.612
4178.304	10.284	8.702	39.361
4179.266	10.002	8.648	39.236
4180.228	9.318	8.662	40.227
4181.191	7.520	8.740	41.197
4182.154	7.068	8.787	40.008
4183.117	9.679	8.786	39.008
4184.080	7.284	8.777	39.172
4185.044	6.150	8.742	39.948
4186.007	8.823	8.686	40.117
4186.971	11.499	8.608	39.004
4187.936	12.503	8.504	37.386
4188.900	7.879	8.405	36.259
4189.865	7.499	8.366	37.069
4190.830	7.574	8.394	39.441
4191.795	8.055	8.453	40.755
4192.760	9.892	8.531	40.474
4193.725	9.260	8.607	41.185
4194.691	8.880	8.720	41.932
4195.657	9.450	8.875	40.852
4196.623	9.437	8.886	39.121
4197.590	8.774	8.877	38.122
4198.556	10.119	8.791	36.596
4199.523	13.234	8.659	34.654
4200.490	7.910	8.504	35.555
4201.458	8.387	8.342	36.168
4202.425	7.477	8.301	35.891
4203.393	6.637	8.407	36.587
4204.361	10.235	8.512	37.707
4205.329	11.213	8.566	38.859
4206.298	7.909	8.583	40.067
4207.266	9.482	8.589	41.497
4208.235	12.145	8.577	42.266
4209.204	5.693	8.459	41.881
4210.174	7.885	8.451	41.400
4211.143	9.001	8.461	41.101
4212.113	11.884	8.422	40.772
